page,tier,code,label,ps,mooe,co,total
16,2,,Mindoro Oriental District Engineering Office,,33892000,2064000,35956000
16,2,,Palawan 1st District Engineering Office,,43414000,2064000,45478000
17,2,,Palawan 2nd District Engineering Office,,47722000,2064000,49786000
17,2,,Palawan 3rd District Engineering Office,,44257000,2064000,46321000
17,2,,Romblon District Engineering Office,,45156000,2064000,47220000
17,2,,Southern Mindoro District Engineering Office,,46210000,2064000,48274000
17,1,,Region V - Bicol,,701751000,55511000,757262000
17,2,,Regional Office V - Proper,,93453000,24491000,117944000
17,2,,Albay 1st District Engineering Office,,35791000,2068000,37859000
17,2,,Albay 2nd District Engineering Office,,37984000,2068000,40052000
17,2,,Albay 3rd District Engineering Office,,35802000,2068000,37870000
17,2,,Camarines Norte District Engineering Office,,48810000,2068000,50878000
17,2,,Camarines Sur 1st District Engineering Office,,36794000,2068000,38862000
17,2,,Camarines Sur 2nd District Engineering Office,,34534000,2068000,36602000
17,2,,Camarines Sur 3rd District Engineering Office,,36985000,2068000,39053000
17,2,,Camarines Sur 4th District Engineering Office,,46903000,2068000,48971000
17,2,,Camarines Sur 5th District Engineering Office,,36169000,2068000,38237000
17,2,,Catanduanes District Engineering Office,,47280000,2068000,49348000
17,2,,Masbate 1st District Engineering Office,,37143000,2068000,39211000
17,2,,Masbate 2nd District Engineering Office,,44781000,2068000,46849000
17,2,,Masbate 3rd District Engineering Office,,45352000,2068000,47420000
17,2,,Sorsogon 2nd District Engineering Office,,36972000,2068000,39040000
17,2,,Sorsogon District Engineering Office,,46998000,2068000,49066000
17,1,,Region VI - Western Visayas,,535603000,47227000,582830000
17,2,,Regional Office VI - Proper,,93966000,24495000,118461000
17,2,,Aklan District Engineering Office,,46141000,2085000,48226000
18,2,,Antique District Engineering Office,,44184000,2085000,46269000
18,2,,Capiz 1st District Engineering Office,,31504000,2085000,33589000
18,2,,Capiz 2nd District Engineering Office,,41884000,2085000,43969000
18,2,,Guimaras District Engineering Office,,35354000,2085000,37439000
18,2,,Iloilo 1st District Engineering Office,,33567000,2085000,35652000
18,2,,Iloilo 2nd District Engineering Office,,47076000,2085000,49161000
18,2,,Iloilo 3rd District Engineering Office,,43903000,2085000,45988000
18,2,,Iloilo 4th District Engineering Office,,36724000,2085000,38809000
18,2,,Iloilo 6th District Engineering Office,,45075000,1882000,46957000
18,2,,Iloilo City District Engineering Office,,36225000,2085000,38310000
18,1,,Negros Island Region (NIR),,424728000,20676000,445404000
18,2,,Regional Office NIR - Proper,,50527000,,50527000
18,2,,Bacolod City District Engineering Office,,38894000,2085000,40979000
18,2,,Negros Occidental 1st District Engineering Office,,50887000,2085000,52972000
18,2,,Negros Occidental 2nd District Engineering Office,,37960000,2085000,40045000
18,2,,Negros Occidental 3rd District Engineering Office,,47871000,2085000,49956000
18,2,,Negros Occidental 4th District Engineering Office,,38363000,2085000,40448000
18,2,,Negros Occidental 5th District Engineering Office,,,1891000,1891000
18,2,,Negros Oriental 1st District Engineering Office,,38785000,2090000,40875000
18,2,,Negros Oriental 2nd District Engineering Office,,39880000,2090000,41970000
18,2,,Negros Oriental 3rd District Engineering Office,,46676000,2090000,48766000
18,2,,Siquijor District Engineering Office,,34885000,2090000,36975000
19,1,,Region VII - Central Visayas,,504256000,47509000,551765000
19,2,,Regional Office VII - Proper,,102612000,24519000,127131000
19,2,,Bohol 1st District Engineering Office,,43948000,2090000,46038000
19,2,,Bohol 2nd District Engineering Office,,35528000,2090000,37618000
19,2,,Bohol 3rd District Engineering Office,,42484000,2090000,44574000
19,2,,Cebu 1st District Engineering Office,,35988000,2090000,38078000
19,2,,Cebu 2nd District Engineering Office,,35006000,2090000,37096000
19,2,,Cebu 3rd District Engineering Office,,32906000,2090000,34996000
19,2,,Cebu 4th District Engineering Office,,36316000,2090000,38406000
19,2,,Cebu 5th District Engineering Office,,36812000,2090000,38902000
19,2,,Cebu 6th District Engineering Office,,35086000,2090000,37176000
19,2,,Cebu 7th District Engineering Office,,32364000,2090000,34454000
19,2,,Cebu City District Engineering Office,,35206000,2090000,37296000
19,1,,Region VIII - Eastern Visayas,,701558000,53783000,755341000
19,2,,Regional Office VIII - Proper,,118223000,24518000,142741000
19,2,,Biliran District Engineering Office,,38092000,2105000,40197000
19,2,,Eastern Samar District Engineering Office,,49616000,2105000,51721000
19,2,,Leyte 1st District Engineering Office,,34595000,2105000,36700000
19,2,,Leyte 2nd District Engineering Office,,45644000,2105000,47749000
19,2,,Leyte 3rd District Engineering Office,,37398000,2105000,39503000
19,2,,Leyte 4th District Engineering Office,,48002000,2105000,50107000
19,2,,Leyte 5th District Engineering Office,,47552000,2105000,49657000
19,2,,Northern Samar 1st District Engineering Office,,46699000,2105000,48804000
19,2,,Northern Samar 2nd District Engineering Office,,37340000,2105000,39445000
19,2,,Samar 1st District Engineering Office,,48039000,2105000,50144000
20,2,,Samar 2nd District Engineering Office,,40460000,2105000,42565000
20,2,,Southern Leyte 1st District Engineering Office,,40745000,2105000,42850000
20,2,,Southern Leyte 2nd District Engineering Office,,35818000,1900000,37718000
20,2,,Tacloban City District Engineering Office,,33335000,2105000,35440000
20,1,,Region IX - Zamboanga Peninsula,,551910000,46148000,598058000
20,2,,Regional Office IX - Proper,,137905000,23361000,161266000
20,2,,Isabela City District Engineering Office,,22300000,2090000,24390000
20,2,,Zamboanga City 1st District Engineering Office,,35261000,1887000,37148000
