page,tier,code,label,ps,mooe,co,total
30,1,,Region XI - Davao,,,13367000,13367000
30,2,,Davao City 2nd District Engineering Office,,,13367000,13367000
30,1,,Region XII - SOCCSKSARGEN,,,193186000,193186000
30,2,,Cotabato 2nd District Engineering Office,,,150000000,150000000
30,2,,Cotabato 3rd District Engineering Office,,,43186000,43186000
30,1,,Region XIII - CARAGA,,,47506000,47506000
30,2,,Surigao del Sur 2nd District Engineering Office,,,47506000,47506000
30,1,310102000000000,Preventive Maintenance Secondary Roads,,,11678686000,11678686000
30,1,310102100373000,Preventive Maintenance Secondary Roads,,,11678686000,11678686000
30,1,,National Capital Region (NCR),,,7934058000,7934058000
30,2,,Central Office,,,7828054000,7828054000
30,2,,Las Pi ñ as-Muntinlupa District Engineering Office,,,40803000,40803000
30,2,,North Manila District Engineering Office,,,19500000,19500000
30,2,,Quezon City 1st District Engineering Office,,,22889000,22889000
30,2,,South Manila District Engineering Office,,,22812000,22812000
31,1,,Cordillera Administrative Region (CAR),,,79434000,79434000
31,2,,Ifugao 2nd District Engineering Office,,,33744000,33744000
31,2,,Upper Kalinga District Engineering Office,,,45690000,45690000
31,1,,Region II - Cagayan Valley,,,49424000,49424000
31,2,,Cagayan 2nd District Engineering Office,,,2500000,2500000
31,2,,Isabela 1st District Engineering Office,,,46924000,46924000
31,1,,Region III - Central Luzon,,,71481000,71481000
31,2,,Bataan 1st District Engineering Office,,,12146000,12146000
31,2,,Nueva Ecija 1st District Engineering Office,,,31268000,31268000
31,2,,Nueva Ecija 2nd District Engineering Office,,,10625000,10625000
31,2,,Tarlac District Engineering Office,,,17442000,17442000
31,1,,Region IVA - CALABARZON,,,1463544000,1463544000
31,2,,Batangas 2nd District Engineering Office,,,92805000,92805000
31,2,,Batangas 4th District Engineering Office,,,172798000,172798000
31,2,,Cavite 2nd District Engineering Office,,,772649000,772649000
31,2,,Cavite District Engineering Office,,,159279000,159279000
31,2,,Cavite Third District Engineering Office,,,79719000,79719000
31,2,,Laguna 1st District Engineering Office,,,10387000,10387000
31,2,,Laguna 2nd District Engineering Office,,,75133000,75133000
31,2,,Laguna 3rd District Engineering Office,,,29775000,29775000
31,2,,Quezon 1st District Engineering Office,,,2381000,2381000
31,2,,Quezon 2nd District Engineering Office,,,32780000,32780000
31,2,,Rizal 1st District Engineering Office,,,13824000,13824000
31,2,,Rizal 2nd District Engineering Office,,,22014000,22014000
32,1,,Region IVB - MIMAROPA,,,102544000,102544000
32,2,,Mindoro Oriental District Engineering Office,,,18539000,18539000
32,2,,Southern Mindoro District Engineering Office,,,84005000,84005000
32,1,,Region V - Bicol,,,301698000,301698000
32,2,,Albay 1st District Engineering Office,,,64548000,64548000
32,2,,Albay 3rd District Engineering Office,,,67686000,67686000
32,2,,Camarines Sur 3rd District Engineering Office,,,50000000,50000000
32,2,,Camarines Sur 5th District Engineering Office,,,26474000,26474000
32,2,,Masbate 3rd District Engineering Office,,,85265000,85265000
32,2,,Sorsogon 2nd District Engineering Office,,,7725000,7725000
32,1,,Region VI - Western Visayas,,,37000000,37000000
32,2,,Iloilo 1st District Engineering Office,,,37000000,37000000
32,1,,Negros Island Region (NIR),,,298685000,298685000
32,2,,Bacolod City District Engineering Office,,,76392000,76392000
32,2,,Negros Occidental 3rd District Engineering Office,,,40624000,40624000
32,2,,Negros Oriental 1st District Engineering Office,,,31435000,31435000
32,2,,Siquijor District Engineering Office,,,150234000,150234000
32,1,,Region VII - Central Visayas,,,218176000,218176000
32,2,,Bohol 1st District Engineering Office,,,14934000,14934000
32,2,,Cebu 1st District Engineering Office,,,40152000,40152000
32,2,,Cebu 5th District Engineering Office,,,17795000,17795000
32,2,,Cebu 6th District Engineering Office,,,6578000,6578000
32,2,,Cebu 7th District Engineering Office,,,58717000,58717000
32,2,,Cebu City District Engineering Office,,,80000000,80000000
33,1,,Region VIII - Eastern Visayas,,,177337000,177337000
33,2,,Biliran District Engineering Office,,,10500000,10500000
33,2,,Leyte 3rd District Engineering Office,,,8666000,8666000
33,2,,Leyte 4th District Engineering Office,,,43400000,43400000
33,2,,Northern Samar 1st District Engineering Office,,,12094000,12094000
33,2,,Northern Samar 2nd District Engineering Office,,,102677000,102677000
33,1,,Region IX - Zamboanga Peninsula,,,551103000,551103000
33,2,,Zamboanga City 1st District Engineering Office,,,9500000,9500000
33,2,,Zamboanga del Norte 1st District Engineering Office,,,22439000,22439000
33,2,,Zamboanga del Norte 4th District Engineering Office,,,496005000,496005000
33,2,,Zamboanga del Sur 1st District Engineering Office,,,23159000,23159000
33,1,,Region XI - Davao,,,150000000,150000000
33,2,,Davao del Norte District Engineering Office,,,150000000,150000000
33,1,,Region XII - SOCCSKSARGEN,,,162668000,162668000
33,2,,Cotabato 1st District Engineering Office,,,11550000,11550000
33,2,,Cotabato 3rd District Engineering Office,,,73917000,73917000
33,2,,South Cotabato 1st District Engineering Office,,,77201000,77201000
33,1,,Region XIII - CARAGA,,,81534000,81534000
33,2,,Dinagat Islands District Engineering Office,,,32920000,32920000
33,2,,Surigao del Norte 2nd District Engineering Office,,,46000000,46000000
33,2,,Surigao del Sur 2nd District Engineering Office,,,2614000,2614000
34,1,310103000000000,Preventive Maintenance Tertiary Roads,,,5720057000,5720057000
34,1,310103100406000,Preventive Maintenance Tertiary Roads,,,5720057000,5720057000
34,1,,National Capital Region (NCR),,,3775563000,3775563000
34,2,,Central Office,,,3712074000,3712074000
34,2,,Las Pi ñ as-Muntinlupa District Engineering Office,,,21047000,21047000
34,2,,Metro Manila 1st District Engineering Office,,,3562000,3562000
34,2,,North Manila District Engineering Office,,,30000000,30000000
34,2,,Quezon City 1st District Engineering Office,,,8880000,8880000
34,1,,Region I - Ilocos,,,57911000,57911000
34,2,,La Union 1st District Engineering Office,,,57911000,57911000
34,1,,Cordillera Administrative Region (CAR),,,85029000,85029000
34,2,,Lower Kalinga District Engineering Office,,,85029000,85029000
34,1,,Region II - Cagayan Valley,,,230311000,230311000
34,2,,Cagayan 2nd District Engineering Office,,,7500000,7500000
34,2,,Isabela 3rd District Engineering Office,,,222811000,222811000
34,1,,Region III - Central Luzon,,,222391000,222391000
34,2,,Bulacan 2nd District Engineering Office,,,30636000,30636000
34,2,,Bulacan 3rd District Engineering Office,,,8390000,8390000
34,2,,Nueva Ecija 2nd District Engineering Office,,,22203000,22203000
34,2,,Pampanga 2nd District Engineering Office,,,115483000,115483000
34,2,,Tarlac District Engineering Office,,,45679000,45679000
34,1,,Region IVA - CALABARZON,,,261651000,261651000
34,2,,Cavite 2nd District Engineering Office,,,73410000,73410000
34,2,,Cavite District Engineering Office,,,44997000,44997000
34,2,,Cavite Third District Engineering Office,,,25404000,25404000
35,2,,Laguna 3rd District Engineering Office,,,115422000,115422000
35,2,,Rizal 1st District Engineering Office,,,2418000,2418000
35,1,,Region V - Bicol,,,179488000,179488000
35,2,,Albay 1st District Engineering Office,,,15622000,15622000
35,2,,Camarines Norte District Engineering Office,,,26615000,26615000
35,2,,Camarines Sur 2nd District Engineering Office,,,21093000,21093000
35,2,,Masbate 3rd District Engineering Office,,,68887000,68887000
35,2,,Sorsogon 2nd District Engineering Office,,,47271000,47271000
35,1,,Region VI - Western Visayas,,,148069000,148069000
35,2,,Capiz 2nd District Engineering Office,,,54162000,54162000
35,2,,Iloilo 1st District Engineering Office,,,93907000,93907000
35,1,,Negros Island Region (NIR),,,96832000,96832000
35,2,,Bacolod City District Engineering Office,,,72301000,72301000
35,2,,Negros Occidental 3rd District Engineering Office,,,17688000,17688000
35,2,,Siquijor District Engineering Office,,,6843000,6843000
35,1,,Region VII - Central Visayas,,,198641000,198641000
35,2,,Cebu 2nd District Engineering Office,,,133893000,133893000
35,2,,Cebu 4th District Engineering Office,,,7969000,7969000
35,2,,Cebu Sth District Engineering Office,,,30000000,30000000
35,2,,Cebu 6th District Engineering Office,,,21779000,21779000
35,2,,Cebu City District Engineering Office,,,5000000,5000000
35,1,,Region VIII - Eastern Visayas,,,20646000,20646000
35,2,,Leyte 2nd District Engineering Office,,,7700000,7700000
35,2,,Leyte 4th District Engineering Office,,,12946000,12946000
36,1,,Region IX - Zamboanga Peninsula,,,98939000,98939000
36,2,,Zamboanga City 1st District Engineering Office,,,46825000,46825000
36,2,,Zamboanga del Sur 1st District Engineering Office,,,6782000,6782000
36,2,,Zamboanga del Sur 2nd District Engineering Office,,,45332000,45332000
36,1,,Region X - Northern Mindanao,,,29500000,29500000
36,2,,Misamis Oriental 1st District Engineering Office,,,29500000,29500000
36,1,,Region XII - SOCCSKSARGEN,,,313468000,313468000
36,2,,Cotabato 1st District Engineering Office,,,79730000,79730000
36,2,,Cotabato 2nd District Engineering Office,,,72696000,72696000
36,2,,Cotabato 3rd District Engineering Office,,,35382000,35382000
36,2,,South Cotabato 2nd District Engineering Office,,,125660000,125660000
36,1,,Region XIII - CARAGA,,,1618000,1618000
36,2,,Dinagat Islands District Engineering Office,,,1618000,1618000
36,1,310104000000000,Rehabilitation / Reconstruction / Upgrading of Damaged Paved Roads Primary Roads,,,18330366000,18330366000
36,1,310104100174000,Rehabilitation / Reconstruction / Upgrading of Damaged Paved Roads Primary Roads,,,18330366000,18330366000
36,1,,National Capital Region (NCR),,,17492181000,17492181000
36,2,,Central Office,,,17468500000,17468500000
36,2,,Metro Manila 2nd District Engineering Office,,,23681000,23681000
36,1,,Region I - Ilocos,,,85990000,85990000
36,2,,La Union 1st District Engineering Office,,,44620000,44620000
36,2,,La Union 2nd District Engineering Office,,,41370000,41370000
36,1,,Region III - Central Luzon,,,51939000,51939000
36,2,,Pampanga 1st District Engineering Office,,,44066000,44066000
36,2,,Tarlac District Engineering Office,,,7873000,7873000
37,1,,Region IVA - CALABARZON,,,180380000,180380000
37,2,,Cavite Third District Engineering Office,,,23961000,23961000
37,2,,Laguna 2nd District Engineering Office,,,1687000,1687000
37,2,,Laguna 3rd District Engineering Office,,,45667000,45667000
37,2,,Quezon 1st District Engineering Office,,,93000000,93000000
37,2,,Rizal 2nd District Engineering Office,,,16065000,16065000
37,1,,Negros Island Region (NIR),,,158284000,158284000
37,2,,Negros Occidental 1st District Engineering Office,,,13535000,13535000
37,2,,Negros Occidental 2nd District Engineering Office,,,1645000,1645000
37,2,,Negros Occidental 5th District Engineering Office,,,70475000,70475000
37,2,,Negros Oriental 2nd District Engineering Office,,,56628000,56628000
37,2,,Negros Oriental 3rd District Engineering Office,,,16001000,16001000
37,1,,Region VII - Central Visayas,,,149955000,149955000
37,2,,Cebu 2nd District Engineering Office,,,149955000,149955000
37,1,,Region VIII - Eastern Visayas,,,66127000,66127000
37,2,,Leyte 2nd District Engineering Office,,,66127000,66127000
37,1,,Region IX - Zamboanga Peninsula,,,63352000,63352000
37,2,,Zamboanga del Norte 2nd District Engineering Office,,,60174000,60174000
37,2,,Zamboanga del Norte 3rd District Engineering Office,,,3178000,3178000
37,1,,Region X - Northern Mindanao,,,33048000,33048000
37,2,,Misamis Oriental 1st District Engineering Office,,,33048000,33048000
37,1,,Region XII - SOCCSKSARGEN,,,49110000,49110000
37,2,,Cotabato 1st District Engineering Office,,,49110000,49110000
38,1,310105000000000,Rehabilitation / Reconstruction / Upgrading of Damaged Paved Roads Secondary Roads,,,4733762000,4733762000
38,1,310105100326000,Rehabilitation / Reconstruction / Upgrading of Damaged Paved Roads Secondary Roads,,,4733762000,4733762000
38,1,,National Capital Region (NCR),,,2306987000,2306987000
38,2,,Central Office,,,2215109000,2215109000
38,2,,Metro Manila 2nd District Engineering Office,,,91878000,91878000
38,1,,Region I - Ilocos,,,17300000,17300000
38,2,,Ilocos Sur 2nd District Engineering Office,,,17300000,17300000
38,1,,Cordillera Administrative Region (CAR),,,45980000,45980000
38,2,,Apayao 2nd District Engineering Office,,,12742000,12742000
38,2,,Lower Kalinga District Engineering Office,,,10578000,10578000
38,2,,Upper Kalinga District Engineering Office,,,22660000,22660000
38,1,,Region III - Central Luzon,,,2857000,2857000
38,2,,Nueva Ecija 1st District Engineering Office,,,2857000,2857000
38,1,,Region IVA - CALABARZON,,,428725000,428725000
38,2,,Batangas 2nd District Engineering Office,,,7396000,7396000
38,2,,Batangas 4th District Engineering Office,,,120316000,120316000
38,2,,Cavite 2nd District Engineering Office,,,142284000,142284000
38,2,,Cavite District Engineering Office,,,14183000,14183000
38,2,,Cavite Third District Engineering Office,,,28154000,28154000
38,2,,Laguna 2nd District Engineering Office,,,3084000,3084000
38,2,,Laguna 3rd District Engineering Office,,,14455000,14455000
38,2,,Quezon 1st District Engineering Office,,,89739000,89739000
38,2,,Quezon 4th District Engineering Office,,,9114000,9114000
38,1,,Region IVB - MIMAROPA,,,135632000,135632000
38,2,,Marinduque District Engineering Office,,,9152000,9152000
39,2,,Romblon District Engineering Office,,,126480000,126480000
39,1,,Region V - Bicol,,,830464000,830464000
39,2,,Albay 3rd District Engineering Office,,,53444000,53444000
39,2,,Camarines Sur 1st District Engineering Office,,,18395000,18395000
39,2,,Camarines Sur 4th District Engineering Office,,,66000000,66000000
39,2,,Camarines Sur 5th District Engineering Office,,,198057000,198057000
39,2,,Masbate 1st District Engineering Office,,,176468000,176468000
39,2,,Masbate 2nd District Engineering Office,,,244978000,244978000
39,2,,Masbate 3rd District Engineering Office,,,73122000,73122000
39,1,,Region VI - Western Visayas,,,119295000,119295000
39,2,,Aklan District Engineering Office,,,24348000,24348000
39,2,,Capiz 1st District Engineering Office,,,1839000,1839000
39,2,,Capiz 2nd District Engineering Office,,,24108000,24108000
39,2,,Iloilo 1st District Engineering Office,,,69000000,69000000
39,1,,Negros Island Region (NIR),,,263661000,263661000
39,2,,Negros Occidental 3rd District Engineering Office,,,197153000,197153000
39,2,,Negros Occidental 5th District Engineering Office,,,34259000,34259000
39,2,,Negros Oriental 3rd District Engineering Office,,,30921000,30921000
39,2,,Siquijor District Engineering Office,,,1328000,1328000
39,1,,Region VII - Central Visayas,,,313139000,313139000
39,2,,Bohol 1st District Engineering Office,,,16893000,16893000
39,2,,Bohol 3rd District Engineering Office,,,160316000,160316000
39,2,,Cebu 2nd District Engineering Office,,,14157000,14157000
40,2,,Cebu 3rd District Engineering Office,,,24000000,24000000
40,2,,Cebu 5th District Engineering Office,,,42095000,42095000
40,2,,Cebu 7th District Engineering Office,,,40678000,40678000
40,2,,Cebu City District Engineering Office,,,15000000,15000000
40,1,,Region VIII - Eastern Visayas,,,56252000,56252000
40,2,,Northern Samar 2nd District Engineering Office,,,6252000,6252000
40,2,,Southern Leyte 1st District Engineering Office,,,50000000,50000000
40,1,,Region IX - Zamboanga Peninsula,,,65748000,65748000
40,2,,Zamboanga City 1st District Engineering Office,,,51748000,51748000
40,2,,Zamboanga del Sur 1st District Engineering Office,,,14000000,14000000
40,1,,Region XII - SOCCSKSARGEN,,,41011000,41011000
40,2,,Cotabato 2nd District Engineering Office,,,41011000,41011000
40,1,,Region XIII - CARAGA,,,106711000,106711000
40,2,,Agusan del Sur 2nd District Engineering Office,,,40000000,40000000
40,2,,Surigao del Sur 2nd District Engineering Office,,,66711000,66711000
40,1,310106000000000,Rehabilitation / Reconstruction / Upgrading of Damaged Paved Roads Tertiary Roads,,,1953964000,1953964000
40,1,310106100379000,Rehabilitation / Reconstruction / Upgrading of Damaged Paved Roads Tertiary Roads,,,1953964000,1953964000
40,1,,National Capital Region (NCR),,,738018000,738018000
40,2,,Central Office,,,546875000,546875000
40,2,,Metro Manila 2nd District Engineering Office,,,104143000,104143000
40,2,,Metro Manila 3rd District Engineering Office,,,50000000,50000000
40,2,,North Manila District Engineering Office,,,37000000,37000000
41,1,,Cordillera Administrative Region (CAR),,,198209000,198209000
41,2,,Apayao 1st District Engineering Office,,,6398000,6398000
41,2,,Apayao 2nd District Engineering Office,,,45703000,45703000
41,2,,Lower Kalinga District Engineering Office,,,46253000,46253000
41,2,,Mountain Province 2nd District Engineering Office,,,95205000,95205000
41,2,,Upper Kalinga District Engineering Office,,,4650000,4650000
41,1,,Region II - Cagayan Valley,,,77044000,77044000
41,2,,Batanes District Engineering Office,,,9136000,9136000
41,2,,Cagayan 2nd District Engineering Office,,,28499000,28499000
41,2,,Isabela 3rd District Engineering Office,,,34999000,34999000
41,2,,Isabela 4th District Engineering Office,,,4410000,4410000
41,1,,Region III - Central Luzon,,,74508000,74508000
41,2,,Bataan 1st District Engineering Office,,,2854000,2854000
41,2,,Bulacan 3rd District Engineering Office,,,14446000,14446000
41,2,,Pampanga 1st District Engineering Office,,,57208000,57208000
41,1,,Region IVA - CALABARZON,,,131516000,131516000
41,2,,Batangas 1st District Engineering Office,,,5000000,5000000
41,2,,Batangas 4th District Engineering Office,,,9473000,9473000
41,2,,Cavite 2nd District Engineering Office,,,4787000,4787000
41,2,,Cavite District Engineering Office,,,8104000,8104000
41,2,,Cavite Third District Engineering Office,,,11504000,11504000
41,2,,Laguna 2nd District Engineering Office,,,23138000,23138000
41,2,,Laguna 3rd District Engineering Office,,,47505000,47505000
41,2,,Quezon 4th District Engineering Office,,,22005000,22005000
42,1,,Region IVB - MIMAROPA,,,25162000,25162000
42,2,,Mindoro Occidental District Engineering Office,,,20782000,20782000
42,2,,Romblon District Engineering Office,,,4380000,4380000
42,1,,Region V - Bicol,,,108743000,108743000
42,2,,Camarines Norte District Engineering Office,,,71019000,71019000
42,2,,Camarines Sur 3rd District Engineering Office,,,3524000,3524000
42,2,,Catanduanes District Engineering Office,,,3280000,3280000
42,2,,Masbate 3rd District Engineering Office,,,30920000,30920000
42,1,,Region VI - Western Visayas,,,280937000,280937000
42,2,,Capiz 2nd District Engineering Office,,,69351000,69351000
42,2,,Iloilo 1st District Engineering Office,,,211586000,211586000
42,1,,Negros Island Region (NIR),,,126639000,126639000
42,2,,Negros Occidental 3rd District Engineering Office,,,59500000,59500000
42,2,,Negros Occidental 5th District Engineering Office,,,53460000,53460000
42,2,,Siquijor District Engineering Office,,,13679000,13679000
42,1,,Region VII - Central Visayas,,,126089000,126089000
42,2,,Bohol 1st District Engineering Office,,,46283000,46283000
42,2,,Cebu 2nd District Engineering Office,,,44806000,44806000
42,2,,Cebu City District Engineering Office,,,35000000,35000000
42,1,,Region VIII - Eastern Visayas,,,19209000,19209000
42,2,,Samar 1st District Engineering Office,,,19209000,19209000
42,1,,Region IX - Zamboanga Peninsula,,,24034000,24034000
42,2,,Zamboanga del Norte 1st District Engineering Office,,,24034000,24034000
43,1,,Region XII - SOCCSKSARGEN,,,5878000,5878000
43,2,,Sarangani District Engineering Office,,,5878000,5878000
43,1,,Region XIII - CARAGA,,,17978000,17978000
43,2,,Dinagat Islands District Engineering Office,,,17978000,17978000
43,1,310107000000000,"Rehabilitation / Reconstruction of Roads with Slips, Slope Collapse and Landslide Primary Roads",,,1693051000,1693051000
43,1,310107100111000,"Rehabilitation / Reconstruction of Roads with Slips, Slope Collapse and Landslide Primary Roads",,,1693051000,1693051000
43,1,,National Capital Region (NCR),,,1449460000,1449460000
43,2,,Central Office,,,1449460000,1449460000
43,1,,Region III - Central Luzon,,,23053000,23053000
43,2,,Zambales 2nd District Engineering Office,,,23053000,23053000
43,1,,Region VIII - Eastern Visayas,,,76398000,76398000
43,2,,Leyte 2nd District Engineering Office,,,7500000,7500000
43,2,,Samar 1st District Engineering Office,,,60390000,60390000
43,2,,Southern Leyte 2nd District Engineering Office,,,8508000,8508000
43,1,,Region X - Northern Mindanao,,,33250000,33250000
43,2,,Cagayan de Oro City 2nd District Engineering Office,,,33250000,33250000
43,1,,Region XI - Davao,,,70890000,70890000
43,2,,Davao City 2nd District Engineering Office,,,70890000,70890000
43,1,,Region XIII - CARAGA,,,40000000,40000000
43,2,,Surigao del Sur 2nd District Engineering Office,,,40000000,40000000
43,1,310108000000000,"Rehabilitation / Reconstruction of Roads with Slips, Slope Collapse and Landslide Secondary Roads",,,4817064000,4817064000
43,1,310108100292000,"Rehabilitation / Reconstruction of Roads with Slips, Slope Collapse and Landslide Secondary Roads",,,4817064000,4817064000
43,1,,National Capital Region (NCR),,,2834827000,2834827000
43,2,,Central Office,,,2834827000,2834827000
44,1,,Cordillera Administrative Region (CAR),,,556970000,556970000
44,2,,Apayao 1st District Engineering Office,,,44000000,44000000
44,2,,Apayao 2nd District Engineering Office,,,39970000,39970000
44,2,,Ifugao 2nd District Engineering Office,,,220181000,220181000
44,2,,Lower Kalinga District Engineering Office,,,17390000,17390000
44,2,,Mountain Province First District Engineering Office,,,53300000,53300000
44,2,,Upper Kalinga District Engineering Office,,,182129000,182129000
44,1,,Region IVA - CALABARZON,,,45000000,45000000
44,2,,Quezon 4th District Engineering Office,,,45000000,45000000
44,1,,Region IVB - MIMAROPA,,,374240000,374240000
44,2,,Marinduque District Engineering Office,,,92550000,92550000
44,2,,Mindoro Oriental District Engineering Office,,,79000000,79000000
44,2,,Palawan 3rd District Engineering Office,,,153000000,153000000
44,2,,Romblon District Engineering Office,,,49690000,49690000
44,1,,Region V - Bicol,,,100000000,100000000
44,2,,Masbate 2nd District Engineering Office,,,100000000,100000000
44,1,,Region VI - Western Visayas,,,12000000,12000000
44,2,,Iloilo 2nd District Engineering Office,,,12000000,12000000
44,1,,Region VII - Central Visayas,,,232000000,232000000
44,2,,Cebu 4th District Engineering Office,,,22000000,22000000
44,2,,Cebu City District Engineering Office,,,210000000,210000000
44,1,,Region VIII - Eastern Visayas,,,197700000,197700000
44,2,,Biliran District Engineering Office,,,70000000,70000000
44,2,,Leyte 3rd District Engineering Office,,,37000000,37000000
44,2,,Leyte 4th District Engineering Office,,,10000000,10000000
45,2,,Southern Leyte 1st District Engineering Office,,,80700000,80700000
45,1,,Region X - Northern Mindanao,,,49000000,49000000
45,2,,Bukidnon 1st District Engineering Office,,,49000000,49000000
45,1,,Region XI - Davao,,,197391000,197391000
45,2,,Davao de Oro 1st District Engineering Office,,,116000000,116000000
45,2,,Davao del Norte District Engineering Office,,,35000000,35000000
45,2,,Davao Occidental District Engineering Office,,,46391000,46391000
45,1,,Region XII - SOCCSKSARGEN,,,127436000,127436000
45,2,,Sultan Kudarat 2nd District Engineering Office,,,127436000,127436000
45,1,,Region XIII - CARAGA,,,90500000,90500000
45,2,,Surigao del Sur 2nd District Engineering Office,,,90500000,90500000
45,1,310109000000000,"Rehabilitation / Reconstruction of Roads with Slips, Slope Collapse and Landslide Tertiary Roads",,,2932241000,2932241000
45,1,310109100260000,"Rehabilitation / Reconstruction of Roads with Slips, Slope Collapse and Landslide Tertiary Roads",,,2932241000,2932241000
45,1,,National Capital Region (NCR),,,1750265000,1750265000
45,2,,Central Office,,,1750265000,1750265000
45,1,,Region I - Ilocos,,,24250000,24250000
45,2,,La Union 1st District Engineering Office,,,24250000,24250000
45,1,,Cordillera Administrative Region (CAR),,,784780000,784780000
45,2,,Apayao 2nd District Engineering Office,,,333495000,333495000
45,2,,Ifugao 1st District Engineering Office,,,193426000,193426000
45,2,,Ifugao 2nd District Engineering Office,,,68581000,68581000
45,2,,Lower Kalinga District Engineering Office,,,53000000,53000000
45,2,,Mountain Province 2nd District Engineering Office,,,136278000,136278000
46,1,,Region II - Cagayan Valley,,,190000000,190000000
46,2,,Cagayan 2nd District Engineering Office,,,190000000,190000000
46,1,,Region VIII - Eastern Visayas,,,104946000,104946000
46,2,,Leyte 1st District Engineering Office,,,26000000,26000000
46,2,,Leyte 3rd District Engineering Office,,,4016000,4016000
46,2,,Leyte 4th District Engineering Office,,,21000000,21000000
46,2,,Northern Samar 1st District Engineering Office,,,44960000,44960000
46,2,,Samar 1st District Engineering Office,,,8970000,8970000
46,1,,Region XI - Davao,,,10000000,10000000
46,2,,Davao de Oro 1st District Engineering Office,,,10000000,10000000
46,1,,Region XII - SOCCSKSARGEN,,,23000000,23000000
46,2,,Sarangani District Engineering Office,,,23000000,23000000
46,1,,Region XIII - CARAGA,,,45000000,45000000
46,2,,Butuan City District Engineering Office,,,45000000,45000000
46,1,310110000000000,Construction / Upgrading / Rehabilitation of Drainage along National Roads Primary Roads,,,1651164000,1651164000
46,1,310110100096000,Construction / Upgrading / Rehabilitation of Drainage along National Roads Primary Roads,,,1651164000,1651164000
46,1,,National Capital Region (NCR),,,1203160000,1203160000
46,2,,Central Office,,,1203160000,1203160000
46,1,,Region I - Ilocos,,,94272000,94272000
46,2,,Ilocos Sur 2nd District Engineering Office,,,41572000,41572000
46,2,,La Union 1st District Engineering Office,,,52700000,52700000
46,1,,Region III - Central Luzon,,,14950000,14950000
46,2,,Pampanga 1st District Engineering Office,,,14950000,14950000
46,1,,Region IVA - CALABARZON,,,100000000,100000000
46,2,,Rizal 1st District Engineering Office,,,100000000,100000000
47,1,,Region VI - Western Visayas,,,7000000,7000000
47,2,,Iloilo City District Engineering Office,,,7000000,7000000
47,1,,Region VII - Central Visayas,,,10000000,10000000
47,2,,Cebu 5th District Engineering Office,,,10000000,10000000
47,1,,Region VIII - Eastern Visayas,,,8000000,8000000
47,2,,Leyte 4th District Engineering Office,,,8000000,8000000
47,1,,Region IX - Zamboanga Peninsula,,,56550000,56550000
47,2,,Zamboanga del Norte 1st District Engineering Office,,,8750000,8750000
47,2,,Zamboanga del Norte 3rd District Engineering Office,,,47800000,47800000
47,1,,Region X - Northern Mindanao,,,157232000,157232000
47,2,,Cagayan de Oro City 2nd District Engineering Office,,,89000000,89000000
47,2,,Lanao del Norte 1st District Engineering Office,,,29601000,29601000
47,2,,Misamis Oriental 1st District Engineering Office,,,38631000,38631000
47,1,310111000000000,Construction / Upgrading / Rehabilitation of Drainage along National Roads Secondary Roads,,,1379850000,1379850000
47,1,310111100143000,Construction / Upgrading / Rehabilitation of Drainage along National Roads Secondary Roads,,,1379850000,1379850000
47,1,,National Capital Region (NCR),,,779973000,779973000
47,2,,Central Office,,,779973000,779973000
47,1,,Region I - Ilocos,,,36850000,36850000
47,2,,Ilocos Sur 2nd District Engineering Office,,,5000000,5000000
47,2,,La Union 1st District Engineering Office,,,31850000,31850000
47,1,,Cordillera Administrative Region (CAR),,,105611000,105611000
47,2,,Ifugao 1st District Engineering Office,,,37566000,37566000
47,2,,Ifugao 2nd District Engineering Office,,,47825000,47825000
48,2,,Mountain Province First District Engineering Office,,,14720000,14720000
48,2,,Upper Kalinga District Engineering Office,,,5500000,5500000
48,1,,Region II - Cagayan Valley,,,11000000,11000000
48,2,,Isabela 1st District Engineering Office,,,11000000,11000000
48,1,,Region IVA - CALABARZON,,,28000000,28000000
48,2,,Batangas 2nd District Engineering Office,,,28000000,28000000
48,1,,Region IVB - MIMAROPA,,,147881000,147881000
48,2,,Mindoro Oriental District Engineering Office,,,9571000,9571000
48,2,,Southern Mindoro District Engineering Office,,,138310000,138310000
48,1,,Region V - Bicol,,,25000000,25000000
48,2,,Masbate 2nd District Engineering Office,,,25000000,25000000
48,1,,Region VI - Western Visayas,,,53894000,53894000
48,2,,Guimaras District Engineering Office,,,9700000,9700000
48,2,,Iloilo 2nd District Engineering Office,,,44194000,44194000
48,1,,Negros Island Region (NIR),,,23100000,23100000
48,2,,Negros Occidental 3rd District Engineering Office,,,23100000,23100000
48,1,,Region VII - Central Visayas,,,20000000,20000000
48,2,,Cebu 5th District Engineering Office,,,20000000,20000000
48,1,,Region VIII - Eastern Visayas,,,105516000,105516000
48,2,,Biliran District Engineering Office,,,85000000,85000000
48,2,,Northern Samar 1st District Engineering Office,,,20516000,20516000
48,1,,Region IX - Zamboanga Peninsula,,,43025000,43025000
48,2,,Zamboanga del Norte 4th District Engineering Office,,,43025000,43025000
49,1,310112000000000,Construction / Upgrading / Rehabilitation of Drainage along National Roads Tertiary Roads,,,184903000,184903000
49,1,310112100132000,Construction / Upgrading / Rehabilitation of Drainage along National Roads Tertiary Roads,,,184903000,184903000
49,1,,National Capital Region (NCR),,,72750000,72750000
49,2,,Central Office,,,72750000,72750000
49,1,,Region I - Ilocos,,,10580000,10580000
