page,tier,label,amounts
118,6,Bacolod City District Engineering Office,50787000
118,6,Negros Occidental 1st District Engineering Office,91567000
118,6,Negros Occidental 2nd District Engineering Office,48184000
118,6,Negros Occidental 3rd District Engineering Office,79918000
118,6,Negros Occidental 4th District Engineering Office,67310000
118,6,Negros Occidental 5th District Engineering Office,56040000
118,6,Negros Oriental 1st District Engineering Office,45836000
118,6,Negros Oriental 2nd District Engineering Office,56350000
118,6,Negros Oriental 3rd District Engineering Office,75266000
118,6,Siquijor District Engineering Office,33760000
119,5,Region VII,517937000
119,6,Bohol 1st District Engineering Office,55515000
119,6,Bohol 2nd District Engineering Office,46584000
119,6,Bohol 3rd District Engineering Office,53946000
119,6,Cebu 1st District Engineering Office,52176000
119,6,Cebu 2nd District Engineering Office,43083000
119,6,Cebu 3rd District Engineering Office,53758000
119,6,Cebu 4th District Engineering Office,39868000
119,6,Cebu 5th District Engineering Office,38730000
119,6,Cebu 6th District Engineering Office,43537000
119,6,Cebu 7th District Engineering Office,24122000
119,6,Cebu City District Engineering Office,66618000
119,5,Region VIII,930466000
119,6,Biliran District Engineering Office,49356000
119,6,Leyte 1st District Engineering Office,61804000
119,6,Leyte 2nd District Engineering Office,87203000
119,6,Leyte 3rd District Engineering Office,66334000
119,6,Leyte 4th District Engineering Office,71578000
119,6,Leyte 5th District Engineering Office,83186000
119,6,Southern Leyte 1st District Engineering Office,33785000
119,6,Southern Leyte 2nd District Engineering Office,55027000
119,6,Eastern Samar District Engineering Office,102899000
119,6,Northern Samar 1st District Engineering Office,77899000
119,6,Northern Samar 2nd District Engineering Office,56430000
119,6,Samar 1st District Engineering Office,70509000
119,6,Samar 2nd District Engineering Office,75623000
119,6,Tacloban City District Engineering Office,38833000
119,5,Region IX,554215000
119,6,Isabela City District Engineering Office,9284000
119,6,Sulu 1st District Engineering Office,17988000
119,6,Sulu 2nd District Engineering Office,9394000
119,6,Zamboanga del Norte 1st District Engineering Office,64987000
119,6,Zamboanga del Norte 2nd District Engineering Office,55216000
119,6,Zamboanga del Norte 3rd District Engineering Office,38577000
119,6,Zamboanga del Norte 4th District Engineering Office,33476000
119,6,Zamboanga del Sur 1st District Engineering Office,63118000
119,6,Zamboanga del Sur 2nd District Engineering Office,80206000
120,6,Zamboanga Sibugay 1st District Engineering Office,57706000
120,6,Zamboanga Sibugay 2nd District Engineering Office,41718000
120,6,Zamboanga City 1st District Engineering Office,43924000
120,6,Zamboanga City 2nd District Engineering Office,38621000
120,5,Region X,737668000
120,6,Bukidnon 1st District Engineering Office,75041000
120,6,Bukidnon 2nd District Engineering Office,90641000
120,6,Bukidnon 3rd District Engineering Office,53693000
120,6,Bukidnon 4th District Engineering Office,44292000
120,6,Cagayan de Oro City 1st District Engineering Office,31196000
120,6,Cagayan de Oro City 2nd District Engineering Office,28898000
120,6,Camiguin District Engineering Office,15252000
120,6,Lanao del Norte 1st District Engineering Office,58128000
120,6,Lanao del Norte 2nd District Engineering Office,56510000
120,6,Iligan City District Engineering Office,38593000
120,6,Misamis Occidental 1st District Engineering Office,51919000
120,6,Misamis Occidental 2nd District Engineering Office,47795000
120,6,Misamis Oriental 1st District Engineering Office,74510000
120,6,Misamis Oriental 2nd District Engineering Office,71200000
120,5,Region XI,686168000
120,6,Davao City District Engineering Office,61453000
120,6,Davao City 2nd District Engineering Office,60690000
120,6,Davao City 3rd District Engineering Office,62375000
120,6,Davao de Oro 1st District Engineering Office,65860000
120,6,Davao de Oro 2nd District Engineering Office,87002000
120,6,Davao del Norte District Engineering Office,56950000
120,6,Davao del Norte 2nd District Engineering Office,48404000
120,6,Davao del Sur District Engineering Office,58317000
120,6,Davao Occidental District Engineering Office,52905000
120,6,Davao Oriental 1st District Engineering Office,62439000
120,6,Davao Oriental 2nd District Engineering Office,69773000
120,5,Region XII,523622000
120,6,Cotabato 1st District Engineering Office,38364000
120,6,Cotabato 2nd District Engineering Office,60468000
120,6,Cotabato 3rd District Engineering Office,66694000
120,6,Sultan Kudarat 1st District Engineering Office,34633000
121,6,Sultan Kudarat 2nd District Engineering Office,56680000
121,6,Sarangani District Engineering Office,94753000
121,6,South Cotabato 1st District Engineering Office,77281000
121,6,South Cotabato 2nd District Engineering Office,94749000
121,5,Region XIII,447085000
121,6,Agusan del Norte District Engineering Office,58758000
121,6,Butuan City District Engineering Office,58349000
121,6,Agusan del Sur 1st District Engineering Office,62946000
121,6,Agusan del Sur 2nd District Engineering Office,53636000
121,6,Surigao del Norte 1st District Engineering Office,38297000
121,6,Surigao del Norte 2nd District Engineering Office,61887000
121,6,Dinagat Islands District Engineering Office,18772000
121,6,Surigao del Sur 1st District Engineering Office,54151000
121,6,Surigao del Sur 2nd District Engineering Office,40289000
121,5,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),199211000
121,6,Regional Office IX,45317000
121,6,Regional Office X,57535000
121,6,Regional Office XII,96359000
121,5,Newly Converted National Roads,27079000
121,4,Routine Maintenance of National Bridges,1603842000
121,5,National Capital Region,89198000
121,6,North Manila District Engineering Office,7126000
121,6,South Manila District Engineering Office,10464000
121,6,Metro Manila 1st District Engineering Office,24758000
121,6,Metro Manila 2nd District Engineering Office,21952000
121,6,Las Pi ñ as-Muntinlupa District Engineering Office,2332000
121,6,Metro Manila 3rd District Engineering Office,1451000
121,6,Malabon-Navotas District Engineering Office,3226000
121,6,Quezon City 1st District Engineering Office,4137000
121,6,Quezon City 2nd District Engineering Office,13752000
